,DualDragon,Niu,Fish,doctor,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,QYH,coolmoon,laoer,hhhh,linda,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,duke,yohen,laopika,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke
hashrate,323.0,49.0,52.0,0.0,310.0,60.0,159.0,524.0,0.0,0.0,554.0,0.0,151.0,117.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,57.0,73.0,64.0,0.0,0.0,0.0,119.0,0.0,0.0,43.0,0.0,64.0,15.0,132.0,0.0,0.0,42.0,375.0,550.0
hashrate,0.005349193091002835,0.0008114874967775199,0.0008611704047434904,0.0,0.005133900489816962,0.0009936581593194122,0.002633194122196442,0.008677947924722866,0.0,0.0,0.009174777004382571,0.0,0.0025007063676205205,0.0019376334106728536,0.0,0.0,0.0007618045888115493,0.0,0.0,0.0,0.0,0.0,0.0009439752513534415,0.0012089507605052847,0.0010599020366073729,0.0,0.0,0.0,0.001970755349316834,0.0,0.0,0.0007121216808455786,0.0,0.0010599020366073729,0.00024841453982985304,0.0021860479505027065,0.0,0.0,0.0006955607115235884,0.006210363495746326,0.009108533127094611
