,DualDragon,Niu,Fish,doctor,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,QYH,coolmoon,laoer,hhhh,linda,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,duke,yohen,laopika,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke,tianxuan
hashrate,377.0,30.0,42.0,0.0,310.0,53.0,170.0,343.0,273.0,19.0,357.0,37.0,133.0,110.0,0.0,50.0,0.0,0.0,0.0,1071.0,0.0,0.0,55.0,40.0,62.0,79.0,775.0,0.0,109.0,0.0,44.0,42.0,31.0,32.0,13.0,143.0,1171.0,1478.0,0.0,0.0,560.0,22.0
hashrate,0.0061875694185033,0.00049237952932387,0.0006893313410534181,0.0,0.005087921803013324,0.0008698705018055037,0.0027901506661685968,0.005629539285269581,0.004480653716847217,0.00031184036857178434,0.005859316398954054,0.0006072680861661064,0.0021828825800024906,0.0018053916075208567,0.0,0.0008206325488731168,0.0,0.0,0.0,0.01757794919686216,0.0,0.0,0.0009026958037604283,0.0006565060390984934,0.0010175843606026647,0.0012965994272195244,0.012719804507533308,0.0,0.0017889789565433945,0.0,0.0007221566430083427,0.0006893313410534181,0.0005087921803013323,0.0005252048312787947,0.00021336446270701033,0.002347009089777114,0.019219214294608395,0.02425789814468933,0.0,0.0,0.009191084547378908,0.00036107832150417135
