,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,laoer,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke,tianxuan,linda
hashrate,251.0,29.0,43.0,106.0,58.0,171.0,78.0,282.0,22.0,201.0,40.0,265.0,125.0,51.0,0.0,545.0,84.0,0.0,52.0,38.0,64.0,87.0,0.0,120.0,39.0,39.0,41.0,62.0,36.0,187.0,1200.0,1482.0,0.0,0.0,556.0,24.0,36.0
hashrate,0.004689716245712504,0.0005418397256002495,0.0008034175241658871,0.0019805176177112565,0.001083679451200499,0.0031949859681945744,0.0014573620205799813,0.005268924228250702,0.00041105082631743065,0.003755509822263798,0.0007473651387589649,0.004951294044278141,0.0023355160586217647,0.0009528905519176801,0.0,0.010182850015590895,0.0015694667913938262,0.0,0.0009715746803866542,0.0007099968818210164,0.0011957842220143436,0.0016255191768007483,0.0,0.0022420954162768944,0.0007286810102899907,0.0007286810102899907,0.0007660492672279389,0.0011584159650763954,0.0006726286248830682,0.0034939320236981606,0.022420954162768944,0.027689878391019645,0.0,0.0,0.01038837542874961,0.00044841908325537886,0.0006726286248830682
