,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,laoer,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke,tianxuan
hashrate,99.0,22.0,54.0,325.0,57.0,166.0,514.0,278.0,13.0,544.0,38.0,160.0,125.0,55.0,0.0,587.0,0.0,0.0,57.0,29.0,59.0,84.0,0.0,117.0,35.0,49.0,32.0,46.0,16.0,191.0,1232.0,1418.0,0.0,0.0,562.0,19.0
hashrate,9.357009881139911e-05,2.0793355291422024e-05,5.10382357153086e-05,0.0003071745668050981,5.387369325504797e-05,0.00015689531719891164,0.00048580839180867823,0.0002627523986825147,1.2286982672203924e-05,0.0005141629672060718,3.591579550336532e-05,0.00015122440211943293,0.00011814406415580697,5.1983388228555064e-05,0.0,0.0005548045252756694,0.0,0.0,5.387369325504797e-05,2.7409422884147213e-05,5.576399828154089e-05,7.939281111270227e-05,0.0,0.00011058284404983532,3.308033796362595e-05,4.631247314907633e-05,3.024488042388658e-05,4.347701560933696e-05,1.512244021194329e-05,0.00018052413003007302,0.0011644278963196335,0.0013402262637834741,0.0,0.0,0.0005311757124445081,1.795789775168266e-05
