,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,laoer,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke,tianxuan
hashrate,259.0,17.0,42.0,326.0,61.0,172.0,369.0,264.0,13.0,389.0,39.0,167.0,129.0,49.0,0.0,535.0,0.0,0.0,0.0,42.0,17.0,41.0,0.0,121.0,30.0,40.0,36.0,63.0,32.0,188.0,1148.0,1599.0,0.0,0.0,518.0,19.0
hashrate,0.0044875360594795535,0.0002945486988847584,0.0007277085501858736,0.005648404460966543,0.0010569100371747213,0.002980139776951673,0.006393439405204461,0.004574168029739777,0.0002252431226765799,0.006739967286245353,0.0006757293680297398,0.0028935078066914498,0.0022351048327137546,0.0008489933085501859,0.0,0.009269620817843865,0.0,0.0,0.0,0.0007277085501858736,0.0002945486988847584,0.000710382156133829,0.0,0.0020964936802973975,0.0005197918215613383,0.0006930557620817843,0.000623750185873606,0.0010915628252788103,0.0005544446096654275,0.0032573620817843867,0.01989070037174721,0.027704904089219332,0.0,0.0,0.008975072118959107,0.00032920148698884757
