,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,laoer,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke,tianxuan,linda
hashrate,252.0,24.0,43.0,334.0,61.0,203.0,83.0,282.0,18.0,189.0,40.0,277.0,101.0,49.0,0.0,556.0,79.0,0.0,17.0,37.0,65.0,91.0,0.0,121.0,42.0,45.0,37.0,41.0,14.0,195.0,1191.0,1517.0,0.0,0.0,576.0,18.0,40.0
hashrate,0.004634552576077131,0.0004413859596263935,0.0007908165109972883,0.006142621271467309,0.0011218559807170834,0.0037333895751732447,0.0015264597770412772,0.005186285025610123,0.0003310394697197951,0.003475914432057849,0.0007356432660439892,0.005094329617354625,0.0018574992467610726,0.0009011630009038866,0.0,0.010225441398011448,0.0014528954504368786,0.0,0.0003126483880686954,0.0006804700210906899,0.0011954203073214823,0.001673588430250075,0.0,0.0022253208797830674,0.0007724254293461886,0.0008275986742994877,0.0006804700210906899,0.0007540343476950889,0.00025747514311539617,0.0035862609219644466,0.02190377824645978,0.027899270864718287,0.0,0.0,0.010593263031033444,0.0003310394697197951,0.0007356432660439892
