,DualDragon,Niu,Fish,doctor,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,QYH,coolmoon,laoer,hhhh,linda,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,duke,yohen,laopika,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke,tianxuan
hashrate,364.0,12.0,53.0,0.0,306.0,64.0,168.0,521.0,0.0,0.0,550.0,0.0,155.0,119.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,56.0,38.0,0.0,82.0,79.0,0.0,119.0,0.0,0.0,32.0,29.0,46.0,11.0,170.0,0.0,0.0,0.0,0.0,581.0,16.0
hashrate,0.006170599613152804,0.0002034263608731694,0.0008984664271898315,0.0,0.0051873722022658195,0.0010849405913235701,0.0028479690522243716,0.008832094501243438,0.0,0.0,0.00932370820668693,0.0,0.002627590494611771,0.002017311411992263,0.0,0.0,0.0008137054434926775,0.0,0.0,0.0,0.0,0.0,0.0009493230174081238,0.0006441834760983697,0.0,0.0013900801326333242,0.0013392235424150318,0.0,0.002017311411992263,0.0,0.0,0.0005424702956617851,0.0004916137054434927,0.000779801050013816,0.00018647416413373861,0.002881873445703233,0.0,0.0,0.0,0.0,0.009849226305609285,0.00027123514783089253
