,DualDragon,Niu,Fish,doctor,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,QYH,coolmoon,laoer,hhhh,linda,jibber,hydra,wuwuwu,hmm,reve,whbscnbiot,steve,yang,duke,yohen,laopika,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,ayaaya,ragnarok,josuke
hashrate,300.0,79.0,44.0,0.0,230.0,60.0,169.0,481.0,0.0,0.0,558.0,0.0,158.0,124.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,31.0,39.0,62.0,0.0,0.0,0.0,118.0,0.0,0.0,48.0,0.0,49.0,15.0,134.0,0.0,0.0,0.0,379.0,545.0
hashrate,0.005488283378746594,0.0014452479564032697,0.0008049482288828339,0.0,0.004207683923705722,0.0010976566757493187,0.003091732970027248,0.008799547683923705,0.0,0.0,0.010208207084468665,0.0,0.0028904959128065394,0.002268490463215259,0.0,0.0,0.0008598310626702998,0.0,0.0,0.0,0.0,0.0,0.0005671226158038147,0.0007134768392370573,0.0011342452316076294,0.0,0.0,0.0,0.0021587247956403274,0.0,0.0,0.0008781253405994551,0.0,0.0008964196185286104,0.0002744141689373297,0.002451433242506812,0.0,0.0,0.0,0.006933531335149864,0.009970381471389646
