,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda
hashrate,231.0,26.0,38.0,314.0,57.0,228.0,77.0,265.0,15.0,166.0,34.0,284.0,121.0,55.0,546.0,0.0,46.0,38.0,63.0,80.0,112.0,29.0,34.0,29.0,61.0,18.0,179.0,1184.0,1492.0,534.0,26.0,39.0
hashrate,0.0038950895499143437,0.0004384083476094067,0.0006407506618906712,0.005294623890359757,0.0009611259928360069,0.0038445039713440278,0.0012983631833047812,0.004468392773711261,0.00025292789285158077,0.0027990686808908273,0.0005733032237969164,0.0047887681046565956,0.0020402850023360846,0.0009274022737891295,0.00920657529979754,0.0,0.000775645538078181,0.0006407506618906712,0.0010622971499766392,0.0013489487618750973,0.0018885282666251365,0.0004889939261797228,0.0005733032237969164,0.0004889939261797228,0.0010285734309297618,0.0003035134714218969,0.0030182728546955303,0.01996444167575144,0.02515789440897057,0.009004232985516275,0.0004384083476094067,0.0006576125214141099
