,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda
hashrate,263.0,15.0,12.0,326.0,36.0,242.0,89.0,283.0,19.0,197.0,39.0,263.0,125.0,67.0,565.0,57.0,55.0,38.0,64.0,85.0,119.0,40.0,31.0,42.0,71.0,42.0,195.0,1192.0,1498.0,592.0,12.0,38.0
hashrate,0.004438712753277711,0.0002531585220500596,0.00020252681764004767,0.005501978545887962,0.000607580452920143,0.004084290822407628,0.0015020738974970203,0.004776257449344458,0.00032066746126340883,0.00332481525625745,0.0006582121573301549,0.004438712753277711,0.0021096543504171635,0.0011307747318235995,0.00953563766388558,0.0009620023837902266,0.000928247914183552,0.0006413349225268177,0.0010801430274135877,0.001434564958283671,0.0020083909415971398,0.0006750893921334923,0.0005231942789034565,0.000708843861740167,0.001198283671036949,0.000708843861740167,0.003291060786650775,0.02011766388557807,0.025282097735399287,0.009991323003575686,0.00020252681764004767,0.0006413349225268177
